"Latest: Time (s)","Latest: Illumination (lux)"
0,103.217315674
0.001,105.473175049
0.002,103.405303955
0.003,105.285186768
0.004,107.353057861
0.005,104.533233643
0.006,104.345245361
0.007,106.413116455
0.008,104.909210205
0.009,103.593292236
0.01,103.969268799
0.011,105.285186768
0.012,104.15725708
0.013,103.781280518
0.014,105.473175049
0.015,105.097198486
0.016,103.593292236
0.017,105.66116333
0.018,105.097198486
0.019,105.66116333
0.02,106.225128174
0.021,105.097198486
0.022,105.66116333
0.023,106.413116455
0.024,104.15725708
0.025,106.601104736
0.026,105.285186768
0.027,104.345245361
0.028,104.345245361
0.029,103.405303955
0.03,104.345245361
0.031,104.345245361
0.032,104.721221924
0.033,105.097198486
0.034,105.66116333
0.035,105.849151611
0.036,104.15725708
0.037,106.977081299
0.038,106.225128174
0.039,104.909210205
0.04,105.097198486
0.041,104.345245361
0.042,103.781280518
0.043,104.909210205
0.044,104.345245361
0.045,104.909210205
0.046,104.909210205
0.047,105.849151611
0.048,104.533233643
0.049,106.413116455
0.05,105.473175049
0.051,104.345245361
0.052,106.037139893
0.053,106.789093018
0.054,106.413116455
0.055,105.66116333
0.056,104.15725708
0.057,104.909210205
0.058,104.909210205
0.059,103.969268799
0.06,103.969268799
0.061,103.593292236
0.062,102.465362549
0.063,104.533233643
0.064,104.15725708
0.065,105.849151611
0.066,103.593292236
0.067,105.473175049
0.068,104.345245361
0.069,103.405303955
0.07,106.601104736
0.071,106.037139893
0.072,105.66116333
0.073,104.909210205
0.074,105.097198486
0.075,105.285186768
0.076,104.15725708
0.077,103.969268799
0.078,103.969268799
0.079,104.909210205
0.08,104.15725708
0.081,104.345245361
0.082,105.66116333
0.083,103.781280518
0.084,105.097198486
0.085,103.593292236
0.086,105.849151611
0.087,107.16506958
0.088,104.721221924
0.089,104.909210205
0.09,104.909210205
0.091,104.909210205
0.092,104.909210205
0.093,104.533233643
0.094,105.849151611
0.095,102.277374268
0.096,104.533233643
0.097,104.909210205
0.098,103.781280518
0.099,103.969268799
0.1,105.849151611
0.101,105.66116333
0.102,106.037139893
0.103,106.225128174
0.104,105.473175049
0.105,106.601104736
0.106,105.849151611
0.107,104.909210205
0.108,103.405303955
0.109,105.66116333
0.11,104.533233643
0.111,105.66116333
0.112,104.533233643
0.113,103.969268799
0.114,103.029327393
0.115,103.969268799
0.116,105.66116333
0.117,103.593292236
0.118,103.969268799
0.119,104.909210205
0.12,107.353057861
0.121,106.037139893
0.122,104.909210205
0.123,103.593292236
0.124,104.533233643
0.125,104.533233643
0.126,104.15725708
0.127,104.15725708
0.128,103.781280518
0.129,103.969268799
0.13,103.969268799
0.131,104.15725708
0.132,105.285186768
0.133,103.593292236
0.134,105.097198486
0.135,105.66116333
0.136,104.15725708
0.137,106.789093018
0.138,105.097198486
0.139,104.909210205
0.14,104.533233643
0.141,104.721221924
0.142,103.593292236
0.143,104.533233643
0.144,104.909210205
0.145,102.65335083
0.146,103.969268799
0.147,104.533233643
0.148,104.721221924
0.149,104.345245361
0.15,105.285186768
0.151,104.721221924
0.152,103.593292236
0.153,105.097198486
0.154,104.533233643
0.155,105.849151611
0.156,105.285186768
0.157,105.097198486
0.158,105.285186768
0.159,104.15725708
0.16,104.721221924
0.161,105.097198486
0.162,102.65335083
0.163,103.969268799
0.164,103.969268799
0.165,103.593292236
0.166,103.781280518
0.167,104.533233643
0.168,104.345245361
0.169,104.721221924
0.17,106.225128174
0.171,104.533233643
0.172,105.66116333
0.173,104.909210205
0.174,104.15725708
0.175,104.909210205
0.176,104.15725708
0.177,103.969268799
0.178,104.15725708
0.179,104.533233643
0.18,103.217315674
0.181,104.909210205
0.182,105.097198486
0.183,103.405303955
0.184,105.66116333
0.185,103.781280518
0.186,106.601104736
0.187,105.849151611
0.188,106.413116455
0.189,104.345245361
0.19,105.66116333
0.191,104.15725708
0.192,104.909210205
