"Latest: Time (s)","Latest: Illumination (lux)"
0,51.5557861328
0.001,50.6158447266
0.002,54.1876220703
0.003,56.0675048828
0.004,55.5035400391
0.005,58.6993408203
0.006,56.4434814453
0.007,59.8272705078
0.008,58.6993408203
0.009,62.8350830078
0.01,65.6549072266
0.011,61.5191650391
0.012,58.1353759766
0.013,54.3756103516
0.014,50.9918212891
0.015,50.9918212891
0.016,53.4356689453
0.017,52.4957275391
0.018,53.2476806641
0.019,53.4356689453
0.02,54.3756103516
0.021,52.4957275391
0.022,52.3077392578
0.023,52.3077392578
0.024,55.6915283203
0.025,57.0074462891
0.026,59.2633056641
0.027,61.1431884766
0.028,61.7071533203
0.029,57.9473876953
0.03,53.4356689453
0.031,51.7437744141
0.032,48.9356994629
0.033,52.4957275391
0.034,53.0596923828
0.035,51.9317626953
0.036,51.7437744141
0.037,52.8717041016
0.038,51.7437744141
0.039,52.3077392578
0.04,53.2476806641
0.041,53.9996337891
0.042,55.5035400391
0.043,60.7672119141
0.044,57.7593994141
0.045,55.5035400391
0.046,54.7515869141
0.047,51.9317626953
0.048,51.5557861328
0.049,52.6837158203
0.05,53.9996337891
0.051,54.1876220703
0.052,52.3077392578
0.053,52.3077392578
0.054,52.4957275391
0.055,49.4996643066
0.056,50.9918212891
0.057,53.6236572266
0.058,58.3233642578
0.059,60.3912353516
0.06,60.7672119141
0.061,57.5714111328
0.062,57.1954345703
0.063,54.7515869141
0.064,56.4434814453
0.065,56.0675048828
0.066,58.3233642578
0.067,57.5714111328
0.068,57.5714111328
0.069,53.8116455078
0.07,51.7437744141
0.071,51.7437744141
0.072,51.5557861328
0.073,52.8717041016
0.074,58.3233642578
0.075,60.0152587891
0.076,60.3912353516
0.077,59.2633056641
0.078,56.6314697266
0.079,57.5714111328
0.08,58.3233642578
0.081,58.6993408203
0.082,60.7672119141
0.083,60.7672119141
0.084,56.0675048828
0.085,53.8116455078
0.086,52.4957275391
0.087,51.9317626953
0.088,53.0596923828
0.089,53.8116455078
0.09,55.3155517578
0.091,55.3155517578
0.092,54.5635986328
0.093,54.5635986328
0.094,56.2554931641
0.095,55.3155517578
0.096,57.9473876953
0.097,60.3912353516
0.098,62.4591064453
0.099,59.8272705078
0.1,56.2554931641
0.101,54.7515869141
0.102,52.4957275391
0.103,53.9996337891
0.104,54.7515869141
0.105,52.8717041016
0.106,52.4957275391
0.107,53.4356689453
0.108,50.6158447266
0.109,51.5557861328
0.11,51.9317626953
0.111,52.4957275391
0.112,56.6314697266
0.113,58.1353759766
0.114,58.6993408203
0.115,54.9395751953
0.116,56.4434814453
0.117,53.0596923828
0.118,51.9317626953
0.119,52.8717041016
0.12,55.8795166016
0.121,55.8795166016
0.122,55.6915283203
0.123,53.0596923828
0.124,48.9356994629
0.125,52.4957275391
0.126,52.3077392578
0.127,51.7437744141
0.128,55.3155517578
0.129,56.4434814453
0.13,56.8194580078
0.131,57.5714111328
0.132,57.1954345703
0.133,54.7515869141
0.134,56.6314697266
0.135,59.2633056641
0.136,60.0152587891
0.137,59.0753173828
0.138,57.0074462891
0.139,53.4356689453
0.14,52.3077392578
0.141,51.5557861328
0.142,52.3077392578
0.143,52.6837158203
0.144,55.5035400391
0.145,56.2554931641
0.146,57.9473876953
0.147,56.0675048828
0.148,54.9395751953
0.149,56.8194580078
0.15,57.7593994141
0.151,58.5113525391
0.152,62.8350830078
0.153,60.9552001953
0.154,56.2554931641
0.155,53.9996337891
0.156,51.9317626953
0.157,52.1197509766
0.158,51.5557861328
0.159,52.4957275391
0.16,51.1798095703
0.161,55.3155517578
0.162,52.8717041016
0.163,53.0596923828
0.164,51.7437744141
0.165,53.4356689453
0.166,54.3756103516
0.167,59.8272705078
0.168,60.3912353516
0.169,58.5113525391
0.17,56.6314697266
0.171,53.0596923828
0.172,50.8038330078
0.173,51.9317626953
0.174,52.8717041016
0.175,52.3077392578
0.176,52.1197509766
0.177,51.7437744141
0.178,50.2516174316
0.179,51.7437744141
0.18,52.4957275391
0.181,52.4957275391
0.182,55.8795166016
0.183,57.9473876953
0.184,60.7672119141
0.185,59.8272705078
0.186,57.5714111328
0.187,58.1353759766
0.188,56.0675048828
0.189,56.8194580078
0.19,57.9473876953
0.191,58.3233642578
0.192,56.4434814453
0.193,53.4356689453
0.194,50.4278564453
0.195,51.3677978516
0.196,50.4278564453
0.197,52.3077392578
0.198,55.1275634766
0.199,56.4434814453
0.2,58.5113525391
0.201,59.8272705078
0.202,58.1353759766
0.203,58.8873291016
0.204,60.7672119141
0.205,63.0230712891
0.206,64.1510009766
0.207,63.7750244141
0.208,60.9552001953
0.209,57.1954345703
0.21,54.3756103516
0.211,50.9918212891
0.212,51.7437744141
0.213,53.2476806641
0.214,52.6837158203
0.215,57.5714111328
0.216,59.0753173828
0.217,58.3233642578
0.218,57.5714111328
0.219,57.0074462891
0.22,57.7593994141
0.221,60.3912353516
0.222,62.2711181641
0.223,65.4669189453
0.224,59.4512939453
0.225,58.8873291016
0.226,55.5035400391
0.227,52.8717041016
0.228,51.5557861328
0.229,50.2516174316
0.23,52.1197509766
0.231,54.7515869141
0.232,56.0675048828
0.233,56.8194580078
0.234,56.2554931641
0.235,57.5714111328
0.236,59.4512939453
0.237,61.3311767578
0.238,67.7110290527
0.239,64.3389892578
0.24,61.5191650391
0.241,58.5113525391
0.242,53.8116455078
0.243,50.9918212891
0.244,51.5557861328
0.245,52.4957275391
0.246,50.9918212891
0.247,52.4957275391
0.248,50.2516174316
0.249,48.5597229004
0.25,52.4957275391
0.251,51.7437744141
0.252,54.3756103516
0.253,61.8951416016
0.254,62.6470947266
0.255,62.0831298828
0.256,61.3311767578
0.257,57.9473876953
0.258,54.9395751953
0.259,56.0675048828
0.26,55.8795166016
0.261,52.4957275391
0.262,52.8717041016
0.263,50.8038330078
0.264,51.1798095703
0.265,52.3077392578
0.266,51.5557861328
0.267,50.8038330078
0.268,54.7515869141
0.269,61.3311767578
0.27,61.5191650391
0.271,61.8951416016
0.272,62.8350830078
0.273,60.7672119141
0.274,60.0152587891
0.275,60.3912353516
0.276,61.3311767578
0.277,61.8951416016
0.278,58.1353759766
0.279,54.9395751953
0.28,50.8038330078
0.281,51.5557861328
0.282,53.0596923828
0.283,53.0596923828
0.284,58.1353759766
0.285,56.8194580078
0.286,60.7672119141
0.287,62.0831298828
0.288,60.7672119141
0.289,59.8272705078
0.29,59.6392822266
0.291,60.9552001953
0.292,63.7750244141
0.293,63.7750244141
0.294,60.7672119141
0.295,54.7515869141
0.296,53.4356689453
0.297,54.1876220703
0.298,53.8116455078
0.299,53.8116455078
0.3,54.7515869141
0.301,55.3155517578
0.302,54.1876220703
0.303,53.0596923828
0.304,54.1876220703
0.305,55.5035400391
0.306,56.8194580078
0.307,63.0230712891
0.308,62.8350830078
0.309,62.8350830078
0.31,60.0152587891
0.311,55.5035400391
0.312,52.6837158203
0.313,51.5557861328
0.314,50.8038330078
0.315,52.1197509766
0.316,51.9317626953
0.317,53.8116455078
0.318,54.9395751953
0.319,53.9996337891
0.32,52.4957275391
0.321,53.9996337891
0.322,59.4512939453
0.323,60.7672119141
0.324,62.4591064453
0.325,63.3990478516
0.326,59.0753173828
0.327,56.8194580078
0.328,54.5635986328
0.329,54.7515869141
0.33,54.3756103516
0.331,53.6236572266
0.332,54.3756103516
0.333,52.8717041016
0.334,50.2516174316
0.335,48.7477111816
0.336,50.6158447266
0.337,50.4278564453
0.338,54.1876220703
0.339,57.5714111328
0.34,62.2711181641
0.341,63.5870361328
0.342,65.2789306641
0.343,61.1431884766
0.344,58.1353759766
0.345,54.9395751953
0.346,52.3077392578
0.347,52.3077392578
0.348,54.3756103516
0.349,50.6158447266
0.35,53.0596923828
0.351,48.7477111816
0.352,50.2516174316
0.353,51.5557861328
0.354,50.8038330078
0.355,54.3756103516
0.356,58.1353759766
0.357,61.7071533203
0.358,62.6470947266
0.359,61.8951416016
0.36,60.2032470703
0.361,57.5714111328
0.362,58.8873291016
0.363,59.4512939453
0.364,60.5792236328
0.365,61.5191650391
0.366,58.3233642578
0.367,54.3756103516
0.368,53.0596923828
0.369,51.9317626953
0.37,52.8717041016
0.371,53.4356689453
0.372,60.0152587891
0.373,60.3912353516
0.374,60.7672119141
0.375,59.2633056641
0.376,60.0152587891
0.377,61.3311767578
0.378,61.1431884766
0.379,62.8350830078
0.38,63.7750244141
0.381,59.0753173828
0.382,54.3756103516
0.383,52.8717041016
0.384,51.9317626953
0.385,52.8717041016
0.386,53.8116455078
0.387,53.8116455078
0.388,56.2554931641
0.389,55.1275634766
0.39,55.3155517578
0.391,54.1876220703
0.392,55.8795166016
0.393,56.0675048828
0.394,63.5870361328
0.395,66.9590759277
0.396,65.4669189453
0.397,63.5870361328
0.398,59.2633056641
0.399,55.5035400391
0.4,51.9317626953
0.401,53.8116455078
0.402,52.6837158203
0.403,52.3077392578
0.404,53.8116455078
0.405,56.4434814453
0.406,52.8717041016
0.407,53.2476806641
0.408,54.3756103516
0.409,53.8116455078
0.41,57.1954345703
0.411,62.0831298828
0.412,62.8350830078
0.413,60.9552001953
0.414,59.0753173828
0.415,55.5035400391
0.416,53.2476806641
0.417,52.6837158203
0.418,53.8116455078
0.419,53.2476806641
0.42,52.6837158203
0.421,53.0596923828
0.422,52.3077392578
0.423,50.9918212891
0.424,53.0596923828
0.425,54.7515869141
0.426,58.1353759766
0.427,58.8873291016
0.428,62.4591064453
0.429,59.8272705078
0.43,57.3834228516
0.431,57.1954345703
0.432,56.2554931641
0.433,59.4512939453
0.434,61.3311767578
0.435,58.5113525391
0.436,59.8272705078
0.437,56.0675048828
0.438,52.4957275391
0.439,53.4356689453
0.44,53.8116455078
0.441,57.3834228516
0.442,60.5792236328
0.443,62.2711181641
0.444,60.0152587891
0.445,61.7071533203
0.446,59.0753173828
0.447,60.2032470703
0.448,62.2711181641
0.449,66.395111084
0.45,65.2789306641
0.451,61.5191650391
0.452,56.4434814453
0.453,53.9996337891
0.454,53.2476806641
0.455,52.8717041016
0.456,54.5635986328
0.457,56.2554931641
0.458,59.8272705078
0.459,57.3834228516
0.46,57.3834228516
0.461,56.0675048828
0.462,55.5035400391
0.463,55.6915283203
0.464,60.0152587891
0.465,65.0909423828
0.466,64.3389892578
0.467,63.9630126953
0.468,60.7672119141
0.469,55.8795166016
0.47,53.0596923828
0.471,54.1876220703
0.472,52.8717041016
0.473,55.6915283203
0.474,58.5113525391
0.475,56.0675048828
0.476,54.7515869141
0.477,53.6236572266
0.478,53.6236572266
0.479,56.4434814453
0.48,57.5714111328
0.481,62.0831298828
0.482,62.6470947266
0.483,60.9552001953
0.484,58.8873291016
0.485,55.6915283203
0.486,53.9996337891
0.487,53.8116455078
0.488,55.5035400391
0.489,55.3155517578
0.49,55.1275634766
0.491,55.5035400391
0.492,54.9395751953
0.493,53.0596923828
0.494,53.4356689453
0.495,55.6915283203
0.496,60.9552001953
0.497,62.2711181641
0.498,63.9630126953
0.499,62.6470947266
0.5,60.0152587891
0.501,58.5113525391
0.502,60.2032470703
0.503,59.0753173828
0.504,64.7149658203
0.505,65.0909423828
0.506,65.2789306641
0.507,65.2789306641
0.508,61.5191650391
0.509,56.2554931641
0.51,56.4434814453
0.511,55.5035400391
0.512,57.7593994141
0.513,60.7672119141
0.514,63.0230712891
0.515,65.2789306641
0.516,63.0230712891
0.517,62.0831298828
0.518,59.6392822266
0.519,63.3990478516
0.52,63.0230712891
0.521,66.5830993652
0.522,67.3350524902
0.523,64.3389892578
0.524,62.8350830078
0.525,57.0074462891
0.526,54.7515869141
0.527,55.5035400391
0.528,57.9473876953
0.529,60.5792236328
0.53,62.8350830078
0.531,60.7672119141
0.532,63.3990478516
0.533,60.3912353516
0.534,60.0152587891
0.535,61.8951416016
0.536,62.6470947266
0.537,67.5230407715
0.538,68.650970459
0.539,63.5870361328
0.54,61.5191650391
0.541,56.0675048828
0.542,52.4957275391
0.543,53.9996337891
0.544,54.3756103516
0.545,56.4434814453
0.546,57.5714111328
0.547,56.8194580078
0.548,55.3155517578
0.549,56.8194580078
0.55,57.0074462891
0.551,56.8194580078
0.552,65.2789306641
0.553,67.147064209
0.554,66.0308837891
0.555,63.7750244141
0.556,60.9552001953
0.557,57.9473876953
0.558,60.5792236328
0.559,60.7672119141
0.56,61.3311767578
0.561,62.4591064453
0.562,58.1353759766
0.563,56.8194580078
0.564,53.0596923828
0.565,52.4957275391
0.566,54.9395751953
0.567,59.4512939453
0.568,63.9630126953
0.569,65.6549072266
0.57,63.5870361328
0.571,61.7071533203
0.572,62.2711181641
0.573,60.3912353516
0.574,65.4669189453
0.575,65.4669189453
0.576,64.5269775391
0.577,66.0308837891
0.578,59.0753173828
0.579,57.1954345703
0.58,54.7515869141
0.581,55.1275634766
0.582,59.4512939453
0.583,62.8350830078
0.584,64.3389892578
0.585,66.395111084
0.586,66.395111084
0.587,63.7750244141
0.588,64.3389892578
0.589,68.8389587402
0.59,69.9668884277
0.591,69.5909118652
0.592,65.4669189453
0.593,57.9473876953
0.594,55.8795166016
0.595,53.9996337891
0.596,54.7515869141
0.597,54.9395751953
0.598,55.5035400391
0.599,55.3155517578
0.6,54.7515869141
0.601,54.1876220703
0.602,54.1876220703
0.603,56.2554931641
0.604,60.7672119141
0.605,67.7110290527
0.606,68.4629821777
0.607,68.0870056152
0.608,64.5269775391
0.609,61.5191650391
0.61,61.1431884766
0.611,61.1431884766
0.612,61.8951416016
0.613,62.0831298828
0.614,59.8272705078
0.615,55.5035400391
0.616,53.9996337891
0.617,55.5035400391
0.618,54.9395751953
0.619,61.7071533203
0.62,67.5230407715
0.621,66.7710876465
0.622,65.2789306641
0.623,68.8389587402
0.624,65.0909423828
0.625,68.0870056152
0.626,71.2828063965
0.627,71.0948181152
0.628,72.0347595215
0.629,69.2149353027
0.63,62.8350830078
0.631,58.3233642578
0.632,57.9473876953
0.633,58.5113525391
0.634,59.4512939453
0.635,63.7750244141
0.636,68.0870056152
0.637,68.8389587402
0.638,69.5909118652
0.639,66.5830993652
0.64,65.8428955078
0.641,66.395111084
0.642,69.5909118652
0.643,73.914642334
0.644,73.914642334
0.645,69.7789001465
0.646,63.9630126953
0.647,58.5113525391
0.648,56.2554931641
0.649,56.6314697266
0.65,57.3834228516
0.651,61.8951416016
0.652,63.9630126953
0.653,62.0831298828
0.654,63.5870361328
0.655,62.2711181641
0.656,62.8350830078
0.657,64.3389892578
0.658,69.0269470215
0.659,75.6065368652
0.66,76.3584899902
0.661,72.0347595215
0.662,66.7710876465
0.663,60.7672119141
0.664,55.8795166016
0.665,56.0675048828
0.666,54.3756103516
0.667,56.0675048828
0.668,57.3834228516
0.669,59.6392822266
0.67,58.3233642578
0.671,60.9552001953
0.672,59.2633056641
0.673,60.7672119141
0.674,66.5830993652
0.675,72.7867126465
0.676,76.922454834
0.677,77.2984313965
0.678,72.410736084
0.679,65.0909423828
0.68,60.3912353516
0.681,59.2633056641
0.682,59.4512939453
0.683,59.4512939453
0.684,57.9473876953
0.685,53.2476806641
0.686,54.3756103516
0.687,52.4957275391
0.688,51.3677978516
0.689,55.1275634766
0.69,60.0152587891
0.691,63.7750244141
0.692,72.7867126465
0.693,69.402923584
0.694,71.0948181152
0.695,68.0870056152
0.696,65.0909423828
0.697,63.3990478516
0.698,67.899017334
0.699,67.5230407715
0.7,64.5269775391
0.701,59.0753173828
0.702,57.0074462891
0.703,54.5635986328
0.704,54.5635986328
0.705,60.2032470703
0.706,62.6470947266
0.707,72.5987243652
0.708,72.2227478027
0.709,70.906829834
0.71,74.1026306152
0.711,74.8545837402
0.712,71.8467712402
0.713,79.3663024902
0.714,79.5542907715
0.715,78.0503845215
0.716,77.4864196777
0.717,66.5830993652
0.718,62.4591064453
0.719,62.2711181641
0.72,58.8873291016
0.721,60.7672119141
0.722,66.2188720703
0.723,64.5269775391
0.724,66.395111084
0.725,65.6549072266
0.726,65.4669189453
0.727,64.5269775391
0.728,67.5230407715
0.729,71.8467712402
0.73,75.7945251465
0.731,77.4864196777
0.732,72.5987243652
0.733,66.0308837891
0.734,62.2711181641
0.735,58.5113525391
0.736,57.9473876953
0.737,61.8951416016
0.738,61.5191650391
0.739,64.7149658203
0.74,64.1510009766
0.741,64.3389892578
0.742,62.4591064453
0.743,65.2789306641
0.744,66.0308837891
0.745,71.658782959
0.746,78.8023376465
0.747,78.2383728027
0.748,72.9747009277
0.749,67.7110290527
0.75,62.0831298828
0.751,60.2032470703
0.752,58.1353759766
0.753,59.8272705078
0.754,61.5191650391
0.755,61.5191650391
0.756,61.1431884766
0.757,58.8873291016
0.758,57.7593994141
0.759,57.3834228516
0.76,60.9552001953
0.761,63.5870361328
0.762,67.899017334
0.763,74.8545837402
0.764,73.7266540527
0.765,69.9668884277
0.766,65.2789306641
0.767,61.5191650391
0.768,57.7593994141
0.769,60.3912353516
0.77,61.5191650391
0.771,62.2711181641
0.772,61.5191650391
0.773,60.9552001953
0.774,58.8873291016
0.775,58.8873291016
0.776,61.8951416016
0.777,66.0308837891
0.778,72.7867126465
0.779,74.4786071777
0.78,71.4707946777
0.781,71.2828063965
0.782,66.7710876465
0.783,65.0909423828
0.784,67.7110290527
0.785,65.8428955078
0.786,66.7710876465
0.787,65.0909423828
0.788,61.3311767578
0.789,59.4512939453
0.79,57.7593994141
0.791,60.0152587891
0.792,66.5830993652
0.793,70.5308532715
0.794,78.0503845215
0.795,79.5542907715
0.796,76.3584899902
0.797,76.5464782715
0.798,75.0425720215
0.799,71.0948181152
0.8,74.4786071777
0.801,75.9825134277
0.802,75.418548584
0.803,71.0948181152
0.804,63.3990478516
0.805,60.0152587891
0.806,58.1353759766
0.807,60.3912353516
0.808,64.5269775391
0.809,64.3389892578
0.81,66.395111084
0.811,66.9590759277
0.812,66.0308837891
0.813,65.6549072266
0.814,65.8428955078
0.815,70.3428649902
0.816,75.0425720215
0.817,78.6143493652
0.818,74.666595459
0.819,68.650970459
0.82,63.2110595703
0.821,60.3912353516
0.822,60.0152587891
0.823,60.2032470703
0.824,61.5191650391
0.825,63.7750244141
0.826,63.3990478516
0.827,60.9552001953
0.828,62.0831298828
0.829,60.2032470703
0.83,60.7672119141
0.831,65.8428955078
0.832,73.162689209
0.833,75.0425720215
0.834,74.666595459
0.835,70.906829834
0.836,63.5870361328
0.837,63.5870361328
0.838,63.2110595703
0.839,63.5870361328
0.84,66.5830993652
0.841,63.9630126953
0.842,60.7672119141
0.843,57.7593994141
0.844,57.5714111328
0.845,60.3912353516
0.846,65.4669189453
0.847,69.2149353027
0.848,74.8545837402
0.849,75.418548584
0.85,68.650970459
0.851,69.9668884277
0.852,70.5308532715
0.853,71.4707946777
0.854,75.0425720215
0.855,75.9825134277
0.856,70.3428649902
0.857,69.5909118652
0.858,62.8350830078
0.859,58.8873291016
0.86,62.0831298828
0.861,63.3990478516
0.862,66.7710876465
0.863,69.2149353027
0.864,67.3350524902
0.865,65.6549072266
0.866,64.3389892578
0.867,63.5870361328
0.868,69.0269470215
0.869,76.170501709
0.87,76.3584899902
0.871,75.0425720215
0.872,71.0948181152
0.873,64.9029541016
0.874,63.0230712891
0.875,63.2110595703
0.876,62.6470947266
0.877,66.0308837891
0.878,65.8428955078
0.879,65.4669189453
0.88,62.6470947266
0.881,58.5113525391
0.882,59.6392822266
0.883,63.2110595703
0.884,66.0308837891
0.885,70.154876709
0.886,67.899017334
0.887,64.9029541016
0.888,65.6549072266
0.889,62.6470947266
0.89,65.0909423828
0.891,68.2749938965
0.892,69.5909118652
0.893,71.4707946777
0.894,67.899017334
0.895,63.0230712891
0.896,60.9552001953
0.897,58.5113525391
0.898,61.3311767578
0.899,68.4629821777
0.9,71.658782959
0.901,76.170501709
0.902,80.3062438965
0.903,74.8545837402
0.904,70.7188415527
0.905,68.4629821777
0.906,63.5870361328
0.907,65.2789306641
0.908,64.5269775391
0.909,65.6549072266
0.91,62.2711181641
0.911,61.3311767578
0.912,56.8194580078
0.913,54.7515869141
0.914,56.0675048828
0.915,59.4512939453
0.916,64.3389892578
0.917,69.2149353027
0.918,69.402923584
0.919,71.4707946777
0.92,68.4629821777
0.921,66.395111084
0.922,68.2749938965
0.923,66.7710876465
0.924,72.7867126465
0.925,74.4786071777
0.926,69.5909118652
0.927,65.4669189453
0.928,62.0831298828
0.929,57.3834228516
0.93,56.6314697266
0.931,59.0753173828
0.932,60.7672119141
0.933,63.5870361328
0.934,64.9029541016
0.935,64.9029541016
0.936,63.7750244141
0.937,63.0230712891
0.938,64.7149658203
0.939,68.0870056152
0.94,71.4707946777
0.941,75.6065368652
0.942,72.7867126465
0.943,69.402923584
0.944,63.2110595703
0.945,58.1353759766
0.946,58.1353759766
0.947,58.5113525391
0.948,60.5792236328
0.949,62.6470947266
0.95,64.3389892578
0.951,63.3990478516
0.952,60.9552001953
0.953,60.2032470703
0.954,60.0152587891
0.955,63.0230712891
0.956,68.4629821777
0.957,71.8467712402
0.958,70.154876709
0.959,66.395111084
0.96,60.7672119141
0.961,57.7593994141
0.962,59.2633056641
0.963,58.3233642578
0.964,60.3912353516
0.965,60.5792236328
0.966,59.6392822266
0.967,57.1954345703
0.968,56.8194580078
0.969,54.5635986328
0.97,56.0675048828
0.971,58.8873291016
0.972,63.5870361328
0.973,65.8428955078
0.974,67.3350524902
0.975,62.4591064453
0.976,61.8951416016
0.977,62.4591064453
0.978,63.0230712891
0.979,63.7750244141
0.98,66.0308837891
0.981,62.6470947266
0.982,59.8272705078
0.983,57.9473876953
0.984,53.9996337891
0.985,55.3155517578
