"Latest: Time (s)","Latest: Illumination (lux)"
0,45.7398986816
0.002,76.3584899902
0.004,39.7242736816
0.006,65.8428955078
0.008,39.3482971191
0.01,40.4762268066
0.012,42.3561096191
0.014,43.1080627441
0.016,53.0596923828
0.018,55.8795166016
0.02,57.0074462891
0.022,51.7437744141
0.024,45.7398986816
0.026,44.7999572754
0.028,44.6119689941
0.03,50.2516174316
0.032,50.6158447266
0.034,60.9552001953
0.036,58.6993408203
0.038,111.112823486
0.04,39.3482971191
0.042,110.924835205
0.044,59.8272705078
0.046,52.6837158203
0.048,74.4786071777
0.05,63.5870361328
0.052,70.7188415527
0.054,77.8623962402
0.056,75.0425720215
0.058,68.8389587402
0.06,61.8951416016
0.062,65.0909423828
0.064,56.4434814453
0.066,77.1104431152
0.068,71.2828063965
0.07,80.682220459
0.072,81.0581970215
0.074,79.3663024902
0.076,67.899017334
0.078,114.672851562
0.08,90.6338500977
0.082,56.0675048828
0.084,135.715789795
0.086,75.2305603027
0.088,114.860839844
0.09,97.5894165039
0.092,87.4380493164
0.094,91.7617797852
0.096,86.4981079102
0.098,85.9341430664
0.1,93.0776977539
0.102,107.729034424
0.104,104.533233643
0.106,111.300811768
0.108,109.420928955
0.11,93.6416625977
0.112,93.0776977539
0.114,88.9419555664
0.116,160.518493652
0.118,65.0909423828
0.12,214.424133301
0.122,120.876464844
0.124,124.448242188
0.126,142.107391357
0.128,124.448242188
0.13,115.048828125
0.132,117.492675781
0.134,126.892089844
0.136,141.167449951
0.138,149.427185059
0.14,134.96383667
0.142,128.208007812
0.144,153.186950684
0.146,133.083953857
0.148,128.020019531
0.15,127.080078125
0.152,145.867156982
0.154,122.004394531
0.156,208.232269287
0.158,162.398376465
0.16,134.399871826
0.162,214.424133301
0.164,123.884277344
0.166,169.530181885
0.168,138.911590576
0.17,157.698669434
0.172,168.590240479
0.174,173.28994751
0.176,175.357818604
0.178,166.146392822
0.18,175.733795166
0.182,152.247009277
0.184,169.154205322
0.186,163.138580322
0.188,160.14251709
0.19,172.162017822
0.192,174.605865479
0.194,195.637054443
0.196,164.454498291
0.198,227.007598877
0.2,145.679168701
0.202,187.001342773
0.204,176.29776001
0.206,182.301635742
0.208,189.257202148
0.21,190.761108398
0.212,188.693237305
0.214,197.516937256
0.216,196.57699585
0.218,201.652679443
0.22,196.952972412
0.222,197.516937256
0.224,182.677612305
0.226,197.704925537
0.228,193.768920898
0.23,207.292327881
0.232,210.1121521
0.234,236.595001221
0.236,182.489624023
0.238,197.516937256
0.24,232.271270752
0.242,191.513061523
0.244,231.143341064
0.246,220.815734863
0.248,216.116027832
0.25,217.619934082
0.252,215.176086426
0.254,217.807922363
0.256,218.371887207
0.258,217.24395752
0.26,213.860168457
0.262,224.951477051
0.264,214.612121582
0.266,226.079406738
0.268,225.703430176
0.27,224.76348877
0.272,223.447570801
0.274,226.455383301
0.276,233.775177002
0.278,204.284515381
0.28,240.166778564
0.282,230.579376221
0.284,236.031036377
0.286,237.346954346
0.288,230.203399658
0.29,233.963165283
0.292,235.091094971
0.294,237.158966064
0.296,236.219024658
0.298,233.023223877
0.3,234.151153564
0.302,235.279083252
0.304,233.211212158
0.306,233.963165283
0.308,233.399200439
0.31,235.843048096
0.312,226.631622314
0.314,233.211212158
0.316,234.151153564
0.318,217.431945801
0.32,238.850860596
0.322,235.091094971
0.324,235.279083252
0.326,237.158966064
0.328,238.474884033
0.33,235.279083252
0.332,233.587188721
0.334,231.143341064
0.336,227.571563721
0.338,236.782989502
0.34,230.015411377
0.342,234.527130127
0.344,239.414825439
0.346,234.339141846
0.348,231.519317627
0.35,232.835235596
0.352,222.695617676
0.354,161.458435059
0.356,236.219024658
0.358,201.0887146
0.36,234.903106689
0.362,225.891418457
0.364,231.895294189
0.366,222.319641113
0.368,214.800109863
0.37,208.044281006
0.372,200.336761475
0.374,214.048156738
0.376,222.319641113
0.378,224.199523926
0.38,228.887481689
0.382,214.612121582
0.384,219.311828613
0.386,201.840667725
0.388,200.336761475
0.39,156.946716309
0.392,230.391387939
0.394,176.109771729
